insurance,populationCovered,abb
Government medical insurance,39,Government
Government medical insurance,40,Government
Government medical insurance,41,Government
Government medical insurance,42,Government
Government medical insurance,43,Government
Government medical insurance,44,Government
Government medical insurance,45,Government
Government medical insurance,46,Government
Government medical insurance,47,Government
Government medical insurance,48,Government
Government medical insurance,49,Government
Government medical insurance,50,Government
Government medical insurance,51,Government
Government medical insurance,52,Government
Government medical insurance,53,Government
Government medical insurance,54,Government
Government medical insurance,55,Government
Government medical insurance,56,Government
Government medical insurance,57,Government
Government medical insurance,58,Government
Government medical insurance,59,Government
Government medical insurance,60,Government
Government medical insurance,61,Government
Government medical insurance,62,Government
Government medical insurance,63,Government
Government medical insurance,64,Government
Government medical insurance,65,Government
Government medical insurance,66,Government
Government medical insurance,67,Government
Government medical insurance,68,Government
Government medical insurance,69,Government
Government medical insurance,70,Government
Government medical insurance,71,Government
Government medical insurance,72,Government
Government medical insurance,73,Government
Government medical insurance,74,Government
Government medical insurance,75,Government
Government medical insurance,76,Government
Government medical insurance,77,Government
Urban employee medical insurance,163,Urban_employee
Urban employee medical insurance,164,Urban_employee
Urban employee medical insurance,165,Urban_employee
Urban employee medical insurance,166,Urban_employee
Urban employee medical insurance,167,Urban_employee
Urban employee medical insurance,168,Urban_employee
Urban employee medical insurance,169,Urban_employee
Urban employee medical insurance,170,Urban_employee
Urban employee medical insurance,171,Urban_employee
Urban employee medical insurance,172,Urban_employee
Urban employee medical insurance,173,Urban_employee
Urban employee medical insurance,174,Urban_employee
Urban employee medical insurance,175,Urban_employee
Urban employee medical insurance,176,Urban_employee
Urban employee medical insurance,177,Urban_employee
Urban employee medical insurance,178,Urban_employee
Urban employee medical insurance,179,Urban_employee
Urban employee medical insurance,180,Urban_employee
Urban employee medical insurance,181,Urban_employee
Urban employee medical insurance,182,Urban_employee
Urban employee medical insurance,183,Urban_employee
Urban employee medical insurance,184,Urban_employee
Urban employee medical insurance,185,Urban_employee
Urban employee medical insurance,186,Urban_employee
Urban employee medical insurance,187,Urban_employee
Urban employee medical insurance,188,Urban_employee
Urban employee medical insurance,189,Urban_employee
Urban employee medical insurance,190,Urban_employee
Urban employee medical insurance,191,Urban_employee
Urban employee medical insurance,192,Urban_employee
Urban employee medical insurance,193,Urban_employee
Urban employee medical insurance,194,Urban_employee
Urban employee medical insurance,195,Urban_employee
Urban employee medical insurance,196,Urban_employee
Urban employee medical insurance,197,Urban_employee
Urban employee medical insurance,198,Urban_employee
Urban employee medical insurance,199,Urban_employee
Urban employee medical insurance,200,Urban_employee
Urban employee medical insurance,201,Urban_employee
Urban employee medical insurance,202,Urban_employee
Urban employee medical insurance,203,Urban_employee
Urban employee medical insurance,204,Urban_employee
Urban employee medical insurance,205,Urban_employee
Urban employee medical insurance,206,Urban_employee
Urban employee medical insurance,207,Urban_employee
Urban employee medical insurance,208,Urban_employee
Urban employee medical insurance,209,Urban_employee
Urban employee medical insurance,210,Urban_employee
Urban employee medical insurance,211,Urban_employee
Urban employee medical insurance,212,Urban_employee
Urban employee medical insurance,213,Urban_employee
Urban employee medical insurance,214,Urban_employee
Urban employee medical insurance,215,Urban_employee
Urban employee medical insurance,216,Urban_employee
Urban employee medical insurance,217,Urban_employee
Urban employee medical insurance,218,Urban_employee
Urban employee medical insurance,219,Urban_employee
Urban employee medical insurance,220,Urban_employee
Urban employee medical insurance,221,Urban_employee
Urban employee medical insurance,222,Urban_employee
Urban employee medical insurance,223,Urban_employee
Urban employee medical insurance,224,Urban_employee
Urban employee medical insurance,225,Urban_employee
Urban employee medical insurance,226,Urban_employee
Urban employee medical insurance,227,Urban_employee
Urban employee medical insurance,228,Urban_employee
Urban employee medical insurance,229,Urban_employee
Urban employee medical insurance,230,Urban_employee
Urban employee medical insurance,231,Urban_employee
Urban employee medical insurance,232,Urban_employee
Urban employee medical insurance,233,Urban_employee
Urban employee medical insurance,234,Urban_employee
Urban employee medical insurance,235,Urban_employee
Urban employee medical insurance,236,Urban_employee
Urban employee medical insurance,237,Urban_employee
Urban employee medical insurance,238,Urban_employee
Urban employee medical insurance,239,Urban_employee
Urban employee medical insurance,240,Urban_employee
Urban employee medical insurance,241,Urban_employee
Urban employee medical insurance,242,Urban_employee
Urban employee medical insurance,243,Urban_employee
Urban employee medical insurance,244,Urban_employee
Urban employee medical insurance,245,Urban_employee
Urban employee medical insurance,246,Urban_employee
Urban employee medical insurance,247,Urban_employee
Urban employee medical insurance,248,Urban_employee
Urban employee medical insurance,249,Urban_employee
Urban employee medical insurance,250,Urban_employee
Urban employee medical insurance,251,Urban_employee
Urban employee medical insurance,252,Urban_employee
Urban employee medical insurance,253,Urban_employee
Urban employee medical insurance,254,Urban_employee
Urban employee medical insurance,255,Urban_employee
Urban employee medical insurance,256,Urban_employee
Urban employee medical insurance,257,Urban_employee
Urban employee medical insurance,258,Urban_employee
Urban employee medical insurance,259,Urban_employee
Urban employee medical insurance,260,Urban_employee
Urban employee medical insurance,261,Urban_employee
Urban employee medical insurance,262,Urban_employee
Urban employee medical insurance,263,Urban_employee
Urban employee medical insurance,264,Urban_employee
Urban employee medical insurance,265,Urban_employee
Urban employee medical insurance,266,Urban_employee
Urban employee medical insurance,267,Urban_employee
Urban employee medical insurance,268,Urban_employee
Urban employee medical insurance,269,Urban_employee
Urban employee medical insurance,270,Urban_employee
Urban employee medical insurance,271,Urban_employee
Urban employee medical insurance,272,Urban_employee
Urban employee medical insurance,273,Urban_employee
Urban employee medical insurance,274,Urban_employee
Urban employee medical insurance,275,Urban_employee
Urban employee medical insurance,276,Urban_employee
Urban employee medical insurance,277,Urban_employee
Urban employee medical insurance,278,Urban_employee
Urban employee medical insurance,279,Urban_employee
Urban employee medical insurance,280,Urban_employee
Urban employee medical insurance,281,Urban_employee
Urban employee medical insurance,282,Urban_employee
Urban employee medical insurance,283,Urban_employee
Urban employee medical insurance,284,Urban_employee
Urban employee medical insurance,285,Urban_employee
Urban employee medical insurance,286,Urban_employee
Urban employee medical insurance,287,Urban_employee
Urban employee medical insurance,288,Urban_employee
Urban employee medical insurance,289,Urban_employee
Urban employee medical insurance,290,Urban_employee
Urban employee medical insurance,291,Urban_employee
Urban employee medical insurance,292,Urban_employee
Urban employee medical insurance,293,Urban_employee
Urban employee medical insurance,294,Urban_employee
Urban employee medical insurance,295,Urban_employee
Urban employee medical insurance,296,Urban_employee
Urban employee medical insurance,297,Urban_employee
Urban employee medical insurance,298,Urban_employee
Urban employee medical insurance,299,Urban_employee
Urban employee medical insurance,300,Urban_employee
Urban employee medical insurance,301,Urban_employee
Urban employee medical insurance,302,Urban_employee
Urban employee medical insurance,303,Urban_employee
Urban employee medical insurance,304,Urban_employee
Urban employee medical insurance,305,Urban_employee
Urban employee medical insurance,306,Urban_employee
Urban employee medical insurance,307,Urban_employee
Urban employee medical insurance,308,Urban_employee
Urban employee medical insurance,309,Urban_employee
Urban employee medical insurance,310,Urban_employee
Urban employee medical insurance,311,Urban_employee
Urban employee medical insurance,312,Urban_employee
Urban employee medical insurance,313,Urban_employee
Urban employee medical insurance,314,Urban_employee
Urban employee medical insurance,315,Urban_employee
Urban employee medical insurance,316,Urban_employee
Urban employee medical insurance,317,Urban_employee
Urban employee medical insurance,318,Urban_employee
Urban employee medical insurance,319,Urban_employee
Urban employee medical insurance,320,Urban_employee
Urban employee medical insurance,321,Urban_employee
Urban employee medical insurance,322,Urban_employee
Urban employee medical insurance,323,Urban_employee
Urban employee medical insurance,324,Urban_employee
Urban employee medical insurance,325,Urban_employee
Urban resident medical insurance,63,Urban_resident
Urban resident medical insurance,64,Urban_resident
Urban resident medical insurance,65,Urban_resident
Urban resident medical insurance,66,Urban_resident
Urban resident medical insurance,67,Urban_resident
Urban resident medical insurance,68,Urban_resident
